320,192
3520,192
4800,576
6720,576
7744,64
9664,64
11584,64
13504,64
16320,704
17344,64
19264,64
22080,704
23104,64
25024,64
26944,64
29760,448
960,1728
1984,1344
4800,1728
5824,1344
7744,1344
9664,1344
12480,1984
13504,1344
15424,1344
17344,1344
20160,1984
21184,1344
23104,1344
25024,1344
27840,1472
28864,1344
64,2624
1984,2624
3904,2624
5824,2624
7744,2624
9664,2624
11584,2624
13504,2624
15424,2624
17344,2624
19264,2624
21184,2624
23104,2624
25024,2624
27840,2752
28864,2624
64,3904
1984,3904
3904,3904
5824,3904
7744,3904
9664,3904
11584,3904
13504,3904
15424,3904
17344,3904
19264,3904
21184,3904
23104,3904
25024,3904
26944,3904
28864,3904
64,5184
1984,5184
3904,5184
5824,5184
7744,5184
9664,5184
11584,5184
14400,5824
16320,5696
17344,5184
19264,5184
21184,5184
23104,5184
25024,5184
26944,5184
28864,5184
64,6464
2240,7616
5440,7488
5824,6464
7744,6464
9664,6464
11584,6464
13504,6464
15424,6464
17344,6464
19264,6464
21184,6464
23360,6592
26560,6592
27840,6848
28864,6464
960,8128
2240,8896
3904,7744
5824,7744
7744,7744
10560,8384
12480,8384
14400,8768
15424,7744
17344,7744
19264,7744
21184,7744
23104,7744
25024,7744
26944,7744
28864,7744
960,9408
2240,10048
3904,9024
5824,9024
7744,9024
9664,9024
11584,9024
14400,9664
15424,9024
17344,9024
19264,9024
21184,9024
23104,9024
25024,9024
26944,9024
28864,9024
